,,,Apple Inc.,AbbVie Inc,Albemarle Corporation,"Align Technology, Inc.","Amazon.com, Inc.",Appian Corp,Booking Holdings Inc,Bristol-Myers Squibb Co,Crestwood Equity Partners LP,Cleveland-Cliffs Inc,Corelogic Inc,Clean Energy Fuels Corp,Canadian Imperial Bank of Commerce,Corenergy Infrastructure Trust Inc,"salesforce.com, inc.",CoStar Group Inc,Walt Disney Co,Enterprise Products Partners L.P.,Ford Motor Company,"Facebook, Inc. Common Stock",Greenbrier Companies Inc,General Electric Company,Corning Incorporated,General Motors Company,Alphabet Inc Class C,GlaxoSmithKline plc,Hain Celestial Group Inc,"Halozyme Therapeutics, Inc.","Hasbro, Inc.",Home Depot Inc,"Illumina, Inc.",JD.Com Inc,"McCormick & Company, Incorporated",Markel Corporation,Microsoft Corporation,Match Group Inc,"Micron Technology, Inc.",Maxim Integrated Products Inc.,New Relic Inc,"Annaly Capital Management, Inc.",Okta Inc,ON Semiconductor Corp,Qorvo Inc,"RPC, Inc.","Rollins, Inc.",RPM International Inc.,Starbucks Corporation,Shopify Inc,SK Telecom Co Ltd,Silicon Laboratories Inc,SunPower Corporation,Square Inc,Spirit Realty Capital Inc,Store Capital Corp,Molson Coors Beverage Co Class B,TransDigm Group Incorporated,Transportadora de Gas del Sur SA ADR Class B,Talend SA ADR,Tractor Supply Company,Uniti Group Inc,Visa Inc,Wix.Com Ltd,Walmart Inc,Zillow Group Inc Class C
,,,AAPL,ABBV,ALB,ALGN,AMZN,APPN,BKNG,BMY,CEQP,CLF,CLGX,CLNE,CM,CORR,CRM,CSGP,DIS,EPD,F,FB,GBX,GE,GLW,GM,GOOG,GSK,HAIN,HALO,HAS,HD,ILMN,JD,MKC,MKL,MSFT,MTCH,MU,MXIM,NEWR,NLY,OKTA,ON,QRVO,RES,ROL,RPM,SBUX,SHOP,SKM,SLAB,SPWR,SQ,SRC,STOR,TAP,TDG,TGS,TLND,TSCO,UNIT,V,WIX,WMT,Z
2018-01-01,1/31/2018,1/31/2018,41.86,112.22,111.59,262,1450.89,31,1912.05,62.6,28.25,6.85,47.36,1.57,99.02,38.33,113.91,346.11,108.67,27.62,10.97,186.89,50.15,16.17,31.22,42.41,1169.94,37.51,38.14,18.68,94.57,200.9,232.64,49.23,108.77,1147.69,95.01,34.94,43.72,61,59.73,10.54,29.45,24.74,71.77,20.2,32.89,52.2,56.81,127.92,27.52,96.2,5.19,46.91,36.61,24.51,84.02,316.91,22.05,38.97,76.25,15.83,124.23,61.05,106.6,44.46
2018-02-01,2/28/2018,2/28/2018,44.53,115.83,100.43,262.52,1512.45,27.04,2034.04,66.2,26.75,7.03,45.5,1.39,91.25,35.87,116.25,342.13,103.16,25.42,10.61,178.32,51.8,14.11,29.08,39.35,1104.73,36.31,34.78,19.66,95.57,182.27,228.02,47.15,106.78,1112,93.77,40.05,48.81,60.94,71.78,10.03,38.59,23.92,80.71,19.64,33.51,49.77,57.1,138.21,24.35,93.5,4.64,46.05,34.95,23.84,76.25,288.31,19.73,47.08,64.93,15.35,122.94,75.05,90.01,47.67
2018-03-01,3/31/2018,4/2/2018,41.67,91.46,88.96,242.69,1371.99,26.24,2030.86,62,25.9,6.85,44.19,1.57,87.33,37.25,115.3,351.13,98.66,24.49,10.86,155.39,49.1,13.12,27.03,35.76,1006.47,38.85,30.99,18.81,83.75,172.9,229.93,39.08,103.83,1159.68,88.52,42.75,50.06,57.41,74.38,10.35,39.02,23.37,68.53,17.22,33.34,46.92,56.24,122.08,24.22,86.9,5,47.68,34.99,24.75,73.09,301.07,19.23,46.04,60.39,15.84,118.39,77.4,85.55,52.99
2018-04-01,4/30/2018,4/30/2018,41.32,96.55,96.96,249.85,1566.13,27.11,2178,52.13,27.35,7.42,49.5,1.61,87.05,38.54,120.99,366.66,100.33,26.84,11.24,172,43.85,14.07,27.02,36.74,1017.33,40.11,29.13,18.93,88.09,184.8,240.93,36.51,105.41,1130.04,93.52,47.12,45.98,54.5,69.89,10.37,42.81,22.08,67.4,18.01,32.35,48.3,57.57,133.63,23.75,92.9,5.58,47.34,36.07,25.23,71.24,320.57,18.35,48.8,68,18.02,126.88,82.25,88.46,48.49
2018-05-01,5/31/2018,5/31/2018,46.72,98.94,93.47,331.95,1629.62,31.51,2108.92,52.62,33.6,8.46,52.71,3.16,87.31,36.19,129.3,381.22,99.47,28.9,11.55,191.78,49.7,14.08,27.17,42.7,1084.99,40.52,25.52,18.4,86.75,186.55,272.44,35.18,104.02,1097.08,98.84,41.15,57.59,58.65,101.59,10.43,56.21,25.13,80.25,16.42,33.18,49.5,56.67,148.09,22.82,107.1,5.49,58.25,39.25,26.8,61.65,334.11,16.05,56.78,74.31,20.97,130.72,86.95,82.54,58.33
2018-06-01,6/30/2018,7/2/2018,46.8,93.11,93.48,340.28,1713.78,33.64,2047.94,55.19,31.6,8.5,52.45,3.65,86.61,37.49,140.43,415.68,105.33,27.38,11.1,197.36,54.1,13.37,27.71,39.5,1127.46,40.12,29.61,16.78,93.02,194.02,279.04,38.79,115.68,1083.61,100.01,39.48,54.48,59.12,102.61,10.39,51.42,22.59,80.1,14.22,35.41,57.96,49.06,149.42,22.91,100.6,5.27,63.14,40.25,26.96,67.62,342.61,11.52,61.77,75.74,20.16,132.5,102.2,84,60.25
2018-07-01,7/31/2018,7/31/2018,47.57,92.23,94.2,356.65,1777.44,31.08,2028.72,58.75,35.85,10.79,48.7,2.85,91.23,38.03,137.15,415.85,113.56,29,10.04,172.58,56.65,13.63,33.18,37.91,1217.26,41.59,28.44,18.1,99.61,197.52,324.36,35.86,117.54,1170,106.08,36.12,52.79,61.14,97.7,10.72,49.65,22.05,81.76,14.8,36.63,64.37,52.39,138.21,24.79,95.25,4.75,64.65,41.85,27.45,67,375.54,15.88,59.15,78.04,17.68,136.74,95,89.23,55.7
2018-08-01,8/31/2018,8/31/2018,56.91,95.98,95.52,386.49,2012.71,34.93,1951.55,60.55,37.6,10.05,50.84,2.75,93.68,37.43,152.68,442.16,112.02,28.6,9.48,175.73,58,12.94,33.51,36.05,1218.19,40.5,28.56,18.41,99.31,200.77,354.83,31.3,124.88,1208.8,112.33,50.05,52.52,60.47,102.76,10.62,61.83,21.34,80.09,13.68,40.05,67.5,53.45,145.67,26.01,98,4.4,88.64,41.85,28.81,66.74,350,12.51,61.55,88.28,20.82,146.89,111.1,95.86,48.65
2018-09-01,9/30/2018,10/1/2018,56.82,95,100.84,391.52,2004.36,30.24,1989.21,62.1,37.47,12.77,48.25,2.6,94.91,36.86,159.86,414.35,116.24,29.13,9.32,162.44,59.96,12.09,35.28,34.2,1195.31,40.05,27.26,18.55,105.69,207.6,366.54,25.49,132.62,1181.67,115.61,56.56,45.15,56.46,90.79,10.25,71.82,18.41,77.1,15.73,39.35,64.43,55.58,163.42,27.71,91.18,4.66,97.28,39.9,27.82,61.21,370.17,14.15,68.8,90.3,19.98,150.79,114.98,94.4,42.3
2018-10-01,10/31/2018,10/31/2018,54.72,77.85,99.22,221.2,1598.01,25.71,1874.58,50.54,33.71,10.76,40.62,2.21,86.32,36.13,137.24,361.42,114.83,26.82,9.55,151.79,47.45,10.1,31.95,36.59,1076.77,39.06,24.88,15.53,91.71,175.88,311.15,23.52,144,1093.24,106.81,51.72,37.72,50.02,89.25,9.87,58.36,17,73.51,14.88,39.47,61.17,58.27,138.15,25.91,81.53,3.93,73.45,39.1,29.03,64,330.25,13.99,61.95,91.89,19.14,137.85,97.35,100.28,40.26
2018-11-01,11/30/2018,11/30/2018,44.65,94.27,96.32,229.89,1690.17,30.06,1891.88,53.46,29.7,9.28,40.46,2.23,83.88,36.25,142.76,369.39,115.49,26.25,9.41,140.61,48.91,7.5,32.22,37.95,1094.43,41.87,20.7,16.51,91,180.32,337.5,21.23,150,1144.14,110.89,40.27,38.56,55.92,87.19,10.04,63.65,19.18,65.81,13.08,42.37,65.95,66.72,152.66,28.37,88.37,4.48,69.84,37.1,29.96,65.77,361.67,14.67,34.74,95.13,19.93,141.71,94.18,97.65,36.55
2018-12-01,12/31/2018,12/31/2018,39.44,92.19,77.07,209.43,1501.97,26.71,1722.42,51.98,27.91,7.69,33.42,1.72,74.54,33.08,136.97,337.34,109.65,24.59,7.65,131.09,39.54,7.57,30.21,33.45,1035.61,38.21,15.86,14.63,81.25,171.82,299.93,20.93,139.24,1038.05,101.57,42.77,31.73,50.85,80.97,9.82,63.8,16.51,60.73,9.87,36.1,58.78,64.4,138.45,26.8,78.81,3.25,56.09,35.25,28.31,56.16,340.06,14.44,37.08,83.44,15.57,131.94,90.34,93.15,31.58
2019-01-01,1/31/2019,1/31/2019,41.61,80.29,80.73,248.95,1718.73,32.19,1832.81,49.37,31.71,10.71,36.3,1.9,84.79,35.81,151.97,390.74,111.52,27.67,8.8,166.69,42.41,10.16,33.26,39.02,1116.37,39.2,18.33,16.18,90.56,183.53,279.79,24.85,123.64,1053.51,104.43,53.49,38.22,54.27,101.65,10.44,82.43,20.04,65.36,10.79,37.24,57.16,68.14,168.47,25.39,76.5,3.8,71.35,39.72,32.32,66.61,391,16.21,37.2,85.4,19.91,135.01,109.35,95.83,35.09
2019-02-01,2/28/2019,2/28/2019,43.29,79.24,91.29,258.97,1639.83,36.49,1697.04,51.66,31.72,11.09,36.67,2.29,84.84,36.46,163.65,457.53,112.84,27.65,8.77,161.45,41.25,10.39,34.81,39.48,1119.92,40.36,19.67,17.25,84.9,185.14,312.77,27.71,135.98,1004.88,112.03,55.38,40.88,54.43,105.75,10.13,84.88,21.48,70.14,10.75,39.66,57.87,70.26,189.15,25.6,81.02,4.22,81.24,38.64,32.47,61.66,434.09,13.99,47.9,95.35,9.64,148.12,109.25,98.99,41.8
2019-03-01,3/31/2019,4/1/2019,47.81,80.78,84.2,285.15,1814.19,33.96,1759.23,47.09,35.73,10.38,37.85,3.17,80.79,37.19,161.18,479.48,112.51,29.35,8.98,168.7,33.32,10.1,33.92,37.76,1194.43,41.81,22.72,16.18,85.68,195.64,316.84,31.26,150.35,984.19,119.02,56.26,42.25,54.76,95.51,10.05,84.23,21.5,73.21,12.02,41.96,58.88,73.96,206.04,24.92,83.28,4.43,76.32,39.77,33.31,60.37,464.39,12.81,50.15,97.49,11.62,157.26,119.15,97.82,35.31
2019-04-01,4/30/2019,4/30/2019,50.17,79.39,75.06,324.68,1926.52,36.09,1854.99,46.43,36.69,9.99,40.61,3.14,84.22,37.79,165.35,496.25,136.97,28.63,10.45,193.4,35.53,10.17,31.85,38.95,1188.48,41.13,21.82,16.13,101.86,203.7,312,30.27,153.97,1071.51,130.6,60.4,42.06,60,105.24,10.09,104.03,23.06,75.61,10.29,38.67,60.65,77.68,243.53,23.6,107.66,4.73,72.82,40.46,33.32,64.19,482.52,9.78,49.58,103.5,10.99,164.43,134.16,102.84,33.4
2019-05-01,5/31/2019,5/31/2019,43.77,76.71,63.3,284.35,1775.07,36.13,1656.22,45.37,35.53,8.7,39.19,2.67,75.78,38.59,151.41,509.64,132.04,27.89,9.52,177.47,27.21,9.44,28.84,33.34,1103.63,38.64,20.39,14.75,95.14,189.85,306.91,25.76,156.04,1058.87,123.68,68.65,32.61,52.59,100.32,8.81,113.22,17.76,61.18,7.44,37.57,53.52,76.06,274.9,23.23,93.57,4.88,61.95,42.66,34.22,54.98,440.95,12.6,46.64,100.78,9.61,161.33,137.34,101.44,43.02
2019-06-01,6/30/2019,7/1/2019,50.39,73.4,70.33,271.68,1922.19,35.53,1898.42,46.18,36.5,10.83,42.31,2.6,78.92,39.44,154.06,559.35,141.65,28.87,10.15,193,30.85,10.63,34.12,38.75,1097.95,40.43,21.41,17.57,106.42,210.28,370.67,31.19,155.7,1104.47,135.68,68.91,40.11,61.08,88.99,9.1,122.42,20.55,70.58,7.25,36.24,61.42,84.55,304.68,24.72,105.03,7.35,73.2,42.35,33.12,56.31,484.48,14.19,38.15,110.61,9.51,173.94,143.02,110.62,47.58
2019-07-01,7/31/2019,7/31/2019,53.26,66.62,72.96,209.08,1866.78,39.29,1886.61,44.41,37.49,10.66,45.57,2.67,78.67,40.47,154.5,615.4,143.01,30.11,9.53,194.23,28.91,10.45,30.75,40.34,1216.68,41.28,21.77,16.99,121.16,213.69,299.38,29.91,158.54,1113.93,136.27,75.29,44.89,59.19,93.17,9.55,130.83,21.51,73.29,6.18,33.53,67.83,94.69,317.88,22.91,112.21,7.65,80.41,44.12,34.21,53.99,485.44,15.03,32.81,108.81,8.42,178,148.52,110.38,49.96
2019-08-01,8/31/2019,9/3/2019,51.43,65.4,60.23,177.91,1789.84,57.29,1941.78,48.04,36.23,6.78,48.04,1.97,77,46.09,152.73,611.85,136.31,28.32,9.1,182.39,22.37,8.33,27.07,36.91,1168.39,42.42,19.17,16.17,109.39,224.07,272.18,29.45,164.11,1149.73,136.04,83.98,44.99,53.75,56.3,8.19,128.19,17.45,70.28,5.19,33.14,66.59,96.77,383.91,21.96,107.28,8.08,61.13,48.02,38.28,52.39,534.78,7.13,41.22,100.19,7.22,179.2,136.94,114.64,32.99
2019-09-01,9/30/2019,9/30/2019,55.99,75.72,69.52,180.92,1735.91,47.5,1962.61,50.71,36.51,7.22,46.27,2.07,82.56,47.22,148.44,593.2,130.32,28.58,9.16,178.08,30.12,8.94,28.52,37.48,1219,42.68,21.48,15.51,118.69,232.02,304.22,28.21,156.3,1181.9,139.03,71.44,42.85,57.91,61.45,8.8,98.46,19.21,74.14,5.61,34.07,68.81,88.42,311.66,22.2,111.35,7.18,61.95,47.86,37.41,57.5,520.67,8.18,33.98,90.44,7.77,172.01,116.74,118.68,29.82
2019-10-01,10/31/2019,10/31/2019,62.19,79.55,60.74,252.29,1776.66,44.64,2048.77,57.37,36.14,7.23,40.49,2.25,85.26,48.17,156.49,549.52,129.92,26.03,8.59,191.65,29.29,9.98,29.63,37.16,1260.11,45.8,23.64,15.32,97.31,234.58,295.52,31.15,160.69,1171,143.37,72.99,47.55,58.66,64.06,8.98,109.07,20.4,80.86,4.14,38.11,72.43,84.56,313.57,23.05,106.24,5.74,61.43,49.84,40.5,52.72,526.28,7.28,35.56,95.02,6.92,178.86,122.07,117.26,32.57
2019-11-01,11/30/2019,12/2/2019,66.04,87.03,65.04,274.34,1781.6,40.79,1884.44,57.41,31.85,8.41,41.15,1.92,86.62,43.75,161,602.71,150.62,25.96,9.01,199.7,28.13,11.16,28.75,35.88,1289.92,44.93,24.99,18.79,100.49,217.62,319.67,32.29,169.21,1121.92,149.55,68.42,46.39,56.46,66.67,9.33,121.95,21.36,102.97,3.89,35.44,73.35,84.57,330.84,22.57,104.78,4.77,66.88,51.61,40.03,50.67,556.58,5.79,37.35,95.78,6.68,181.79,120.42,119.28,39.86
2019-12-01,12/31/2019,12/31/2019,73.41,88.54,73.04,279.04,1847.84,38.21,2053.73,64.19,30.82,8.4,43.71,2.34,83.2,44.71,162.64,598.3,144.63,28.16,9.3,205.25,32.43,11.16,29.11,36.6,1337.02,46.99,25.96,17.73,105.61,218.38,331.74,35.23,169.73,1143.17,157.7,82.11,53.78,61.51,65.71,9.42,115.37,24.38,116.23,5.24,33.16,76.76,87.92,397.58,23.11,115.98,5.11,62.56,49.18,37.24,53.9,560,7.17,39.11,93.44,8.21,187.9,122.38,118.84,45.94
2020-01-01,1/31/2020,1/31/2020,77.38,81.02,80.28,257.1,2008.72,51.04,1830.55,62.95,28.96,7.02,46.5,2.3,81.47,45.6,182.31,652.99,138.31,25.77,8.82,201.91,24.09,12.45,26.69,33.39,1434.23,46.8,24.21,18.98,101.87,228.1,290.07,37.69,163.37,1172.97,170.23,78.22,53.09,60.12,66.01,9.76,128.05,23.15,105.86,4.53,37.95,71.37,84.83,465.66,21.21,98.31,5.58,74.69,52.78,39.25,55.58,643.28,6.19,36.9,92.95,6.33,198.97,142.69,114.49,46.21
2020-02-01,2/29/2020,3/2/2020,74.7,88.69,84.3,230.22,1953.95,45.89,1728.98,60.34,20.88,5.92,48.29,2.29,77.57,38.06,176.76,705.8,119.98,24.33,7.2,196.44,23.97,11.21,24.67,31.42,1389.11,42.55,25.23,20.55,79.29,229.94,278.28,43.3,152.47,1262.7,172.79,68.14,54.59,57.81,54.92,9.44,133.43,18.93,100.44,3.58,39.11,66.02,82.38,488.4,19.52,91.79,5.71,80.67,47.17,33.75,51.48,568.46,5.77,36.25,91.48,10.33,192.33,138.72,115.88,54.4
2020-03-01,3/31/2020,3/31/2020,63.57,76.19,56.37,173.95,1949.72,40.23,1345.32,55.74,4.23,3.95,30.54,1.78,57.97,18.38,143.98,587.21,96.6,14.3,4.83,166.8,17.74,7.94,20.54,20.78,1162.81,37.89,25.97,17.99,71.55,186.71,273.12,40.5,141.21,927.89,157.71,66.04,42.06,48.61,46.24,5.07,122.26,12.44,80.63,2.06,36.14,59.5,65.74,416.93,16.27,85.41,3.32,52.38,26.15,18.12,39.01,320.19,4.6,22.43,84.55,6.03,161.12,100.82,113.62,36.02
2020-04-01,4/30/2020,4/30/2020,73.45,82.2,61.43,214.85,2474,45.67,1480.57,60.81,10.94,4.38,38.42,2.15,59.41,12.14,161.95,648.26,108.15,17.56,5.09,204.71,16.98,6.8,22.01,22.29,1348.66,42.07,25.84,22.66,72.21,219.83,319.03,43.1,156.84,865.84,179.21,76.96,47.89,54.98,53.69,6.25,151.3,16.05,98.03,3.41,40,66.41,76.73,632.29,19.13,97.22,4.81,65.14,30.76,20.07,41.01,363.08,4.58,26.08,101.43,7.06,178.72,130.81,121.55,43.96
2020-05-01,5/31/2020,6/1/2020,80.46,90.7,77.42,250.55,2471.04,57.94,1670.73,60.29,13.69,5.32,49.83,2.07,66.97,9.46,176.36,656.92,118.77,19.27,5.87,231.91,21.4,6.76,22.74,26.94,1431.82,41.85,31.41,24.19,72.66,247.29,365.41,54.73,176.57,897.75,182.83,91.73,46.34,57.86,67.97,6.28,204.78,16.78,104.58,3.07,42.22,74.1,78.32,758,20.09,91.92,4.85,82.72,30.65,20.8,37.97,438.79,5.6,33.03,122.66,8.74,194.35,220.97,123.96,58.22
2020-06-01,6/30/2020,6/30/2020,91.2,98.18,77.21,274.44,2758.82,51.25,1592.34,58.8,13.11,5.52,67.22,2.22,66.97,9.15,187.33,710.67,111.51,18.17,6.08,227.07,22.75,6.83,25.9,25.3,1413.61,40.79,31.51,26.81,74.95,250.51,370.35,60.18,179.41,923.17,203.51,107.05,51.52,60.61,68.9,6.56,200.23,19.82,110.53,3.08,42.39,75.06,73.59,949.2,19.32,100.27,5.02,104.94,34.86,23.81,34.36,442.05,5.63,34.66,131.79,9.35,193.17,256.22,119.78,57.61
2020-07-01,7/31/2020,7/31/2020,106.26,94.91,82.46,293.82,3164.68,50.87,1662.13,58.66,14.5,5.18,68.16,2.38,69.35,8.76,194.85,849.76,116.94,17.6,6.61,253.67,25.73,6.07,31,24.89,1482.96,40.32,33.98,27.19,72.76,265.49,382.16,63.79,194.9,1044.54,205.01,102.7,50.06,68.09,70.91,7.41,220.98,20.6,128.15,2.97,52.4,81.59,76.53,1024,20.29,100.51,6.11,129.85,34.46,23.69,37.52,431.58,5.62,35.34,142.74,9.9,190.4,290.48,129.4,68.39
2020-08-01,8/31/2020,8/31/2020,129.04,95.77,91.01,296.98,3450.96,61.24,1910.45,62.2,13.58,6.58,66.4,2.64,79.35,8.94,272.65,848.6,131.87,17.56,6.82,293.2,27.19,6.34,32.46,29.63,1634.18,39.6,32.79,29,78.94,285.04,357.22,78.64,206.2,1086.83,225.53,111.68,45.51,68.44,61.43,7.35,215.37,21.37,128.27,3.13,55.14,84.77,84.47,1066.42,22.97,102.41,11.19,159.56,35.51,27.04,37.64,499.67,4.7,41.18,148.83,9.82,211.99,294.63,138.85,85.76